clip_id,url
ObliqueAwkwardCucumberGingerPower-Ixj1zpAT2FyjJ3An,https://www.twitch.tv/sniper_biscuit/clip/ObliqueAwkwardCucumberGingerPower-Ixj1zpAT2FyjJ3An
AliveScaryPeppermintWholeWheat-9w3ACacM6YJKYLjS,https://www.twitch.tv/sniper_biscuit/clip/AliveScaryPeppermintWholeWheat-9w3ACacM6YJKYLjS
KathishSullenPangolinCoolCat-bpS0D1YsIMOq9MPh,https://www.twitch.tv/sniper_biscuit/clip/KathishSullenPangolinCoolCat-bpS0D1YsIMOq9MPh
SpikyDistinctLeopardLeeroyJenkins-N9xG6ymSy02rpRwD,https://www.twitch.tv/sniper_biscuit/clip/SpikyDistinctLeopardLeeroyJenkins-N9xG6ymSy02rpRwD
